LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price,Order Price
C384242,WR06X331JTL,Walsin Tech Corp,,0603,100mW Thick Film Resistors ±100ppm/℃ ±5% 330Ω 0603  Chip Resistor - Surface Mount ROHS,YES,500,100\100,0.001800,0.90
C965809,XL-1608BGWC-06,XINGLIGHT,,0603,Green -30℃~+85℃ Positive post blue 120° 80mW 0603  Light Emitting Diodes (LED) ROHS,YES,100,50\50,0.010300,1.03
C431540,MSK12C02,SHOU HAN,,SMD,Surface Mount 50mA SPDT 12V 10000次 SMD  Slide Switches ROHS,YES,20,10\10,0.055100,1.10
C2884926,PJ-320A,XKB Connectivity,,Plugin,-20℃~+70℃ 3.5mm headphone jack 235℃ 30V 0.5A Plugin  Audio Connectors ROHS,YES,20,5\5,0.076200,1.52
C112161,ATMEGA32U4-MU,Microchip Tech,,VQFN-44-EP(7x7),32KB 2.5KB FLASH 26 2.7V~5.5V AVR 16MHz VQFN-44-EP(7x7)  Microcontroller Units (MCUs/MPUs/SOCs) ROHS,YES,3,1\1,4.272300,12.82
C434422,SZYY0603W,Yongyu Photoelectric,,0603,Yellow -40℃~+85℃ White light 120° 100mW 0603  Light Emitting Diodes (LED) ROHS,YES,50,50\50,0.014000,0.70
