LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price,Order Price
C114586,WS2812B-B,Worldsemi,,SMD5050,RGB SMD5050  Light Emitting Diodes (LED) ROHS,YES,120,5\5,0.074200,8.90
C510959,MF254V-11-40-0743,XFCN,,"Plugin,P=2.54mm","2.54mm Plugin 3A 40P -40℃~+105℃ 60V Straight 1x40P 3mm Top Circular Holes Plugin,P=2.54mm  Female Headers ROHS",YES,7,1\1,0.954600,6.68
