LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price,Order Price
C18800,LMK107BJ106MALTD,Taiyo Yuden,,0603,10V 10uF X5R ±20% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,100,50\50,0.013300,1.33
C1955164,F980J107MMAAXE,Kyocera AVX,,0603,100uF 6.3V 10Ω@100kHz ±20% 0603  Tantalum Capacitors ROHS,YES,20,1\1,0.455000,9.10
C5190152,1N5817WS,Guangdong Hottech,,SOD-323,20V 1A SOD-323  Schottky Barrier Diodes (SBD) ROHS,YES,50,50\50,0.017200,0.86
C2988369,GT-USB-7010ASV,G-Switch,,SMD,USB 2.0 3A 1 Surface Mount 16P Female -40℃~+85℃ Gold High Conductivity Copper Type-C SMD  USB Connectors ROHS,YES,15,5\5,0.083100,1.25
C5189960,CYA0630-22UH,SHOU HAN,,"SMD,6.6x7.2mm","1.5A 22uH ±20% 165mΩ SMD,6.6x7.2mm  Inductors (SMD) ROHS",YES,15,5\5,0.119200,1.79
C105588,RC0603FR-07100RL,YAGEO,,0603,100mW Thick Film Resistors ±100ppm/℃ ±1% 100Ω 0603  Chip Resistor - Surface Mount ROHS,YES,1000,100\100,0.000700,0.70
C2907117,FRC0603J222 TS,FOJAN,,0603,100mW Thick Film Resistors ±100ppm/℃ ±5% 2.2kΩ 0603  Chip Resistor - Surface Mount ROHS,YES,1000,100\100,0.000600,0.60
C2907179,FRC0603J511 TS,FOJAN,,0603,100mW Thick Film Resistors ±100ppm/℃ ±5% 510Ω 0603  Chip Resistor - Surface Mount ROHS,YES,1000,100\100,0.000600,0.60
C2802263,DW02C,Shenzhen Fuman Elec,,SOT-23-5," SOT-23-5  Battery Management ICs ROHS",YES,20,10\10,0.068300,1.37
C610260,ME4057ASPG-NA,MICRONE(Nanjing Micro One Elec),,SOP-8-EP," SOP-8-EP  Battery Management ICs ROHS",YES,15,5\5,0.112200,1.68
C2983811,ME2110A50PG,MICRONE(Nanjing Micro One Elec),,SOT-89," SOT-89  DC-DC Converters ROHS",YES,15,5\5,0.082600,1.24
