LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price,Order Price
C506813,CH340N,WCH(Jiangsu Qin Heng),,SOP-8," SOP-8  USB ICs ROHS",YES,5,1\1,0.556900,2.78
C2930050,FRC0603F1501TS,FOJAN,,0603,100mW Thick Film Resistors ±100ppm/℃ ±1% 1.5kΩ 0603  Chip Resistor - Surface Mount ROHS,YES,1000,100\100,0.000700,0.70
C2907166,FRC0603J472 TS,FOJAN,,0603,100mW Thick Film Resistors ±100ppm/℃ ±5% 4.7kΩ 0603  Chip Resistor - Surface Mount ROHS,YES,1000,100\100,0.000600,0.60
C965799,XL-1608SURC-06,XINGLIGHT,,0603,Colorless transparence -30℃~+85℃ Positive post 617nm~621nm Red 120° 55mW 0603  Light Emitting Diodes (LED) ROHS,YES,300,100\100,0.003400,1.02
C965807,XL-1608UBC-04,XINGLIGHT,,0603,Colorless transparence -30℃~+85℃ Positive post 460nm~469nm blue 120° 80mW 0603  Light Emitting Diodes (LED) ROHS,YES,300,100\100,0.003900,1.17
C965804,XL-1608UGC-04,XINGLIGHT,,0603,Colorless transparence 516nm~525nm -30℃~+85℃ Positive post Emerald 120° 80mW 0603  Light Emitting Diodes (LED) ROHS,YES,300,100\100,0.005800,1.74
C965803,XL-1608UYC-04,XINGLIGHT,,0603,Colorless transparence -30℃~+85℃ 589nm~591nm Positive post yellow 120° 55mW 0603  Light Emitting Diodes (LED) ROHS,YES,300,100\100,0.006100,1.83
