LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price,Order Price
C692442,PJ-3220-Y,XKB Connectivity,,Plugin,-20℃~+70℃ 3.5mm headphone jack 235℃ 30V 0.5A Plugin  Audio Connectors ROHS,YES,6,5\5,0.189000,1.13
C2884998,PJ-320B-SMT,XKB Connectivity,,SMD,-20℃~+70℃ 3.5mm headphone jack 235℃ 30V 0.5A SMD  Audio Connectors ROHS,YES,5,5\5,0.093300,0.47
C493188,1N4148,SMC(Sangdest Microelectronicstronic (Nanjing)),,DO-35,75V 500mW Single 1V@10mA 4ns 150mA DO-35  Switching Diode ROHS,YES,100,20\20,0.020300,2.03
