LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price,Order Price
C283541,TYPE-C-31-M-16,Korean Hroparts Elec,,SMD,1 6P Female Type-C SMD  USB Connectors ROHS,YES,10,5\5,0.342100,3.42
C130026,TCA9548APWR,Texas Instruments,,TSSOP-24," TSSOP-24  Signal Switches / Encoders & Decoders / Multiplexers ROHS",YES,1,1\1,1.226600,1.23
C2890618,N114-2413THBIG01-H13,Shenzhen Allvision Tech,,-,1.14 ST7789V -  LCD Displays Modules ROHS,YES,3,1\1,4.359100,13.08
C5179964,LR6207A-T50,LR,,SOT-23-5L,55dB@(1kHz) 300mA null 5V positive 6.5V SOT-23-5L  Linear Voltage Regulators (LDO) ROHS,YES,20,20\20,0.032500,0.65
C5148692,XC6206P332MR,HXY MOSFET,,SOT-23(TO-236),300mA Fixed 3.3V~3.3V Positive 8V SOT-23(TO-236)  Linear Voltage Regulators (LDO) ROHS,YES,20,50\50,0.022400,0.45
