LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price,Order Price
C129216,1N4148W D1,Tak Cheong,,SOD-123FL,75V 400mW Single 1V@10mA 4ns 150mA SOD-123FL  Switching Diode ROHS,YES,50,50\50,0.022900,1.15
C2836081,S8050 J3Y,CBI,,SOT-523(SC-75),"25V 200mW 120@50mA,1V 500mA SOT-523(SC-75)  Bipolar Transistors - BJT ROHS",YES,50,50\50,0.016700,0.84
C304069,AR03BTCX1001,Viking Tech,,0603,100mW Thin Film Resistor ±25ppm/℃ ±0.1% 1kΩ 0603  Chip Resistor - Surface Mount ROHS,YES,20,20\20,0.028800,0.58
C35449,SRD-05VDC-SL-C,Ningbo Songle Relay,,"Plugin,15.6x19.2mm","5V 15A SPDT (1 Form C) 5 Plugin,15.6x19.2mm  Power Relays ROHS",YES,5,1\1,0.407600,2.04
C395850,DB126V-5.0-3P-GN,DIBO,,"Plugin,P=5mm","1x3P -40℃~+105℃ 15A 250V Green 14~26 Straight pin 5mm 1.5 1 3 Plugin,P=5mm  Screw terminal ROHS",YES,5,5\5,0.160200,0.80
