LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price,Order Price
C13750,AFA07-S04FCC-00,JUSHUO,,"SMD,P=1mm","Slide Lock 4P Bottom Contact Surface Mount 1mm SMD,P=1mm  FFC/FPC Connectors ROHS",YES,104,13\13,0.086900,9.04
C3015484,XC6206-3.3V,YONGYUTAI,,SOT-23(TO-236),250mA Fixed 3.3V~3.3V Positive 6V SOT-23(TO-236)  Linear Voltage Regulators (LDO) ROHS,YES,10,10\10,0.037500,0.38
C617908,ATTINY816-MN,Microchip Tech,,QFN-20-EP(3x3),8KB 1.8V~5.5V AVR 20MHz 18 QFN-20-EP(3x3)  Microcontroller Units (MCUs/MPUs/SOCs) ROHS,YES,3,1\1,1.921900,5.77
C1705,CL10A475KP8NNNC,Samsung Electro-Mechanics,,0603,10V 4.7uF X5R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,1000,100\100,0.004000,4.00
C1607,CL10A225KP8NNNC,Samsung Electro-Mechanics,,0603,10V 2.2uF X5R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,1000,100\100,0.004500,4.50
C1592,CL10A105KO8NNNC,Samsung Electro-Mechanics,,0603,16V 1uF X5R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,1000,100\100,0.002700,2.70
C26345,C26345,LX,,P=1mm,0.3mm~0.3mm 4 1mm Opposite Side 10cm P=1mm  FFC/FPC Connect Cables ROHS,YES,50,10\10,0.047800,2.39
C21190,0603WAF1001T5E,UNI-ROYAL(Uniroyal Elec),,0603,100mW Thick Film Resistors ±100ppm/℃ ±1% 1kΩ 0603  Chip Resistor - Surface Mount ROHS,YES,1000,100\100,0.000600,0.60
