LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price,Order Price
C2927027,USB-TYPE-C-007,DEALON,,SMD,5A 1 Surface Mount 6P Female -25℃~+85℃ Type-C SMD  USB Connectors ROHS,YES,50,10\10,0.049900,2.50
C414017,1N4148WT,MDD（Microdiode Electronics）,,SOD-523,80V 1.2V@100mA 4ns 100mA SOD-523  Switching Diode ROHS,YES,500,50\50,0.009700,4.85
C965555,WS2812B-2020,Worldsemi,,"SMD,2x2mm","RGB SMD,2x2mm  Light Emitting Diodes (LED) ROHS",YES,100,5\5,0.082500,8.25
